,W,Reject null hypothesis
49b638959c85d9c19a3e1c109e5b7a7e,635,True
2ba193f406409a38522a50cd8acde93f,117,False
f66355d9bb172e233ce23a1a71c824fc,117,False
15869fbb559d7a31992e2034442b5099,179,False
546f2c0a74a88e6f1f37a2366edb0060,619,True
5a7b1b9e2a54e153cd274e59b198fd0b,752,True
f770439b7fe512e54524cd8258919221,146,False
8a48bf9639e05c7114dcafbe69a2a87d,108,False
3192ed8ef0fbbeb4b598cd5c5afcc823,180,False
9b40ea06cb2c2f75122976fb2a675732,149,False
18dd309a2b535cd5aaae0dcb57fcc4de,657,True
1f57d8cd0aba981aa992ebb823fd0b90,112,False
fc95c5f3462141b2eb751d59bd47710a,669,True
0223dac37ae7d499a1c11fecc17cbb5b,426,False
1c8e4345e379083be44a9fc59bb13632,754,True
0fe6ce7e4cf81ce80df2be1ddb2d551b,678,True
a2936df30120074ee2b32fd9a5ed9496,717,True
22bcaa8ecd6c2998cd725e7311151544,681,True
c4a8701a932fd74879ae6a6470d51514,125,False
bdd8b8004afe7e4f36b3c39d51bac9ec,150,False
c7f6ad28dccd61b9bce4ff1f27aa6662,121,False
c9323cdbf2225cd388d8b832bdd66eb1,128,False
1c1da3e36c883cb562cc4c5a56ed3fa6,260,False
43388de77b3efd9427c166102f19ad45,513,False
ae087a17f437a53f851d7654a5a6645c,701,True
7641849beb912c26c7e26c8686777a85,117,False
33ceef400d52e119a12874531a4b5d8f,687,True
499ce705449e46451e5f1eaa7b227ae2,126,False
0e231fdcef132f17f43646b00bf9d2c9,104,False
65acb90c1f269e56038348529fb09cdf,509,False
7945ed12e8c16433888909725ba680d7,363,False
2ce5e8a89de78b532263e4baa2fbad54,218,False
77f358c89e3836c285354b3b18f788a9,557,False
3ed7fe52130f946687694a26dc480d15,292,False
5d2ddb0c78bd8f9fd7b710eafb54853b,485,False
a3c411aae6e316341d505af6ca75243e,121,False
e63bf82b08616e9edd3c73dd69b7a616,109,False
a9d6a5f7975b032329925dd79ca6a9f1,715,True
95417e07c236ac7acbf5d66358df296d,123,False
bbc99824096869ffba0c8e4ef59cfb84,127,False
9fee0541c33fc3a7f60933b67b7dffe9,680,True
7144de9684c83011bf5f22cf3b41d0f9,122,False
5140459f4b7a91d213e055e26a40fa40,175,False
7e44b8773054a47843e4552617ba2dc5,694,True
e60b0d20788a9810bdff12607368576b,414,False
f7658cea5c4183a00c8a26e0d5a59187,123,False
79d06b65909141041df1ea6d2aaa440a,154,False
c1e1eb75b6ec596c23e5e653cbe42da4,133,False
003803ad4793fac9ebe6a54c78ad5a93,706,True
25d0bc970ce52db647439b74f905e506,112,False
95b7e9f29f62c6bca73ed11b2e8a35e1,507,False
fde71fd19ae125edac13405754d05654,140,False
642faa7e943147bdab00346a02d07a70,126,False
900a2b113b17a2705180ed5e1558ada4,112,False
8922b3ff3a8c63563cce404232a5fe8a,112,False
c87e36c6b00756dcb0e64d177f2f0f2b,112,False
8486cd530a32f6f5a7eaf2903797ae3e,717,True
f6649b8f5959e5c31a9f6d358b19b704,131,False
2cb690a623be64f308ba9bcec4140b2a,203,False
a557f5948fd2ab3d8f8583c85043872a,149,False
b11205a36b96476de06d4f27cfec38a8,687,True
a38d07e9ac875057541eacaa84d35398,305,False
c401dd13180ecba6872032c4e7673e25,133,False
eb82d3f10bb71a45e21c6bb8e5cad7cc,183,False
2500529b5a1bf49aba503fe02f9a254e,124,False
7f91fcfa7412e8dc8a66abb98eaf5a53,172,False
7a68511d2a52263c7f6a0dc28d81e932,727,True
68c2c38775ac7efe01f2383a4b08724f,131,False
4877fe883f1fcdcd6ae94cb73712902d,115,False
269cf7928072128361a52ca3a110571f,123,False
a3d31e0bc56de5eda200eb5b4deeced1,396,False
3bb55afb15ed810e271a03c2a66b9e10,121,False
627fe4f38ef3215a0a8e2f778e84837c,675,True
01ed464f8389be5b0f7b86000bca7683,318,False
ad9ea98d6300b2a7501f26fdbc88b1fd,142,False
c8f2b3de0207f14e4093d5e464523d2e,167,False
e122b3acedfe1a819e2e7983bdadf10b,188,False
41f72ea0560d754315315bde107b5afc,117,False
c6ecf3ac36368d663eb6d27348a294ba,671,True
2012b082f259104f405209c1452ecfd7,120,False
35170b61f6f84e19df0b63e6f9868ca2,747,True
00ea325b7c0b57797ee084e17e068299,657,True
6c84f8ee0a10d748dce2b6d0f0d2dcee,156,False
f3a364592888a54919f6e14fd97a5204,136,False
