,Reject null hypothesis,W
642faa7e943147bdab00346a02d07a70,False,32
900a2b113b17a2705180ed5e1558ada4,False,32
8922b3ff3a8c63563cce404232a5fe8a,False,32
c87e36c6b00756dcb0e64d177f2f0f2b,False,26
8486cd530a32f6f5a7eaf2903797ae3e,True,660
f6649b8f5959e5c31a9f6d358b19b704,False,32
2cb690a623be64f308ba9bcec4140b2a,False,33
a557f5948fd2ab3d8f8583c85043872a,False,41
b11205a36b96476de06d4f27cfec38a8,False,43
a38d07e9ac875057541eacaa84d35398,False,35
c401dd13180ecba6872032c4e7673e25,False,32
eb82d3f10bb71a45e21c6bb8e5cad7cc,False,45
2500529b5a1bf49aba503fe02f9a254e,False,42
7f91fcfa7412e8dc8a66abb98eaf5a53,False,53
7a68511d2a52263c7f6a0dc28d81e932,True,695
68c2c38775ac7efe01f2383a4b08724f,False,33
4877fe883f1fcdcd6ae94cb73712902d,False,26
269cf7928072128361a52ca3a110571f,False,39
a3d31e0bc56de5eda200eb5b4deeced1,False,42
3bb55afb15ed810e271a03c2a66b9e10,False,27
627fe4f38ef3215a0a8e2f778e84837c,False,37
01ed464f8389be5b0f7b86000bca7683,False,41
ad9ea98d6300b2a7501f26fdbc88b1fd,False,40
c8f2b3de0207f14e4093d5e464523d2e,False,35
e122b3acedfe1a819e2e7983bdadf10b,False,43
41f72ea0560d754315315bde107b5afc,False,34
c6ecf3ac36368d663eb6d27348a294ba,False,37
2012b082f259104f405209c1452ecfd7,False,36
35170b61f6f84e19df0b63e6f9868ca2,False,73
00ea325b7c0b57797ee084e17e068299,False,39
6c84f8ee0a10d748dce2b6d0f0d2dcee,False,44
f3a364592888a54919f6e14fd97a5204,False,50
7130b82cc0bd7dad0007c4320d102fe1,True,686
3ac3f4c7c45515628515b0eacf5170d5,False,37
789435b25e3900a5492c25e9217b6aaa,False,36
ff87795cecc4edbc180c779cefee28b1,False,34
c2ba738f2b272dc393d4561ba0b3453b,False,38
14d2386d647a6cd231236035f18014e9,False,47
2a2f3f401b002d68e17c880024e07b27,False,39
0e435eb858e25a5e4b5b69f6154976aa,False,38
44eebae31115e43c0d2d4d16d116af10,False,61
4ff24fc8bbb1263940427ba778d2367b,False,32
